seller,product_count,avg_rate,total_reviews
کتابسرای الیکا,352,78.32386363636364,10459
 کامک,83,78.3132530120482,14364
دلتاکالا,20,78.3,2447
ناو استایل,39,78.25641025641026,4759
کتاب نیکا,255,78.12549019607843,5990
بست شیک,81,78.12345679012346,55836
ویستا تحریر,33,78.12121212121212,3707
شهر کتاب ایران,21,78.0952380952381,1411
اسپیروما,27,78.07407407407408,964
زمانه,90,78.04444444444445,10107
گالاردیا,94,78.02127659574468,101949
آریان لوکس پلاس,21,78.0,1394
رایان پخش,25,78.0,330
رزدارو,393,77.98982188295166,13215
تیما سنتر,98,77.93877551020408,14286
جانا استور,43,77.90697674418605,15689
پرتی لیدی,21,77.9047619047619,5864
گالری کایلین,100,77.88,3411
کتاب هنری تحریر کاظمی,55,77.85454545454546,643
سوبا,36,77.83333333333333,482
انتشارات طلایه,114,77.7719298245614,3103
آنالوگ,34,77.76470588235294,2026
فروشگاه بیاتوتخفیف,25,77.76,3813
چرمینه اسپرت,52,77.73076923076923,1257
چیکا,101,77.72277227722772,18055
آرایشی نیلوفر,76,77.71052631578948,2888
لوکس تجاری نوین,206,77.68932038834951,999
تاپ سل برند,49,77.6734693877551,4645
بهنو,91,77.67032967032966,31054
فرنازشاپینگ,27,77.62962962962963,4165
فیلو مارکت,31,77.61290322580645,1979
سلام دوست من,70,77.6,9343
تارا اسپا,21,77.52380952380952,165
دوگتا,33,77.51515151515152,2279
ملکو,28,77.42857142857143,938
سرمشق,61,77.37704918032787,581
نیومد,24,77.33333333333333,2090
بازرگانی نور,26,77.3076923076923,550
عصاره بیژه,59,77.28813559322033,5027
بیتان,118,77.27118644067797,9110
فروشگاه ذره بین مارکت,145,77.22758620689655,4140
تکنوهوم,23,77.21739130434783,14106
ملی شاپینگ,160,77.2125,51037
دکمه آنلاین,58,77.20689655172414,12789
گالری بزک دوزک,140,77.14285714285714,21767
فروشگاه ماه و مهر,78,77.12820512820512,4508
گروه بازرگانی دیاموند,25,77.12,3681
نیل استار,21,77.04761904761905,1310
لاکی بیوتی,230,77.03478260869565,61909
برین تجارت پادیاو,70,77.0,1836
 فروشگاه مهیاس,25,76.96,2509
نوین لند,25,76.88,2841
آرادشاپ,37,76.86486486486487,1006
نوشه شاپ,316,76.86075949367088,13885
دوباره کالا,26,76.84615384615384,13434
صنایع تولیدی گلسان,50,76.84,2661
آمیتیس شاپینگ,62,76.83870967741936,4564
اسلایم توپولی,136,76.80882352941177,10950
دیبالند,88,76.79545454545455,1122
فلودو,69,76.69565217391305,15013
فروشگاه توپ تاپ,80,76.675,15725
هیرو استور,81,76.64197530864197,12486
تولیدی شیک شو,70,76.62857142857143,12616
جامبو,539,76.59369202226345,164027
مارال بیوتی,169,76.59171597633136,4209
