product_id,comment_count,total_likes,total_dislikes
5715766,233,31,10
4012333,228,12,7
7291752,224,35,14
82098,223,65,10
4545846,220,13,6
471187,220,37,11
126148,218,10,3
4411958,218,15,5
708283,216,19,2
11788028,216,6,4
1518148,216,11,9
715154,216,11,3
5792153,216,15,5
5931403,215,60,26
715152,215,20,3
4056938,215,3,1
76805,214,5,1
3408934,214,38,1
514309,214,24,4
5126849,214,2,1
