seller,total_products,fake_count,fake_percent
یکتا نشان,74,2,2.7
مانلي,74,2,2.7
پخش کالای مرکزی,149,4,2.68
آلپاين,75,2,2.67
اروااستور,75,2,2.67
آرامازد شاپ,339,9,2.65
گالری محبوب,151,4,2.65
اطلس پخش,38,1,2.63
رزمشکی,38,1,2.63
آنالند شاپ,38,1,2.63
 اکب,154,4,2.6
فروشگاه شهبال,77,2,2.6
بوژنه,77,2,2.6
زتوس,384,10,2.6
عمده بازار تهران,1003,26,2.59
هزاره گالری,78,2,2.56
پارملا سنتر,39,1,2.56
ساناهی,156,4,2.56
وارش سنتر,235,6,2.55
میرو کالا,235,6,2.55
مونو استایلو,196,5,2.55
پوشاک مانا,118,3,2.54
سون گام,598,15,2.51
گالری زیگزاگ,80,2,2.5
کپلی,80,2,2.5
دستکش شبگرد,40,1,2.5
بازرگانی کارنا,40,1,2.5
سانریو,80,2,2.5
مارمارا,40,1,2.5
تیناکید,40,1,2.5
شهرگیفت,40,1,2.5
ژرمن لند,201,5,2.49
گالری ماه کادو,121,3,2.48
رایان فرید,162,4,2.47
پوشاک زنانه سولین,162,4,2.47
 لیو,163,4,2.45
فروشگاه و مزون روشا,123,3,2.44
لی کوپر,41,1,2.44
پخش برقی ایران,82,2,2.44
فروشگاه ستارگان,41,1,2.44
هیپو گالری,82,2,2.44
چاپلینکو,41,1,2.44
دلاریس استایل,124,3,2.42
تک سیتی,83,2,2.41
دنیای برچسب,83,2,2.41
بازی های فکری,83,2,2.41
استیکر بازار,125,3,2.4
ساز آدرین,126,3,2.38
گیسو استور,42,1,2.38
های تولد,552,13,2.36
سیتی مارکت دات شاپ,128,3,2.34
شایا استور,43,1,2.33
والا تجارت,43,1,2.33
اوتلت مد,258,6,2.33
نارمک سنتر,129,3,2.33
والیناسور,130,3,2.31
پیوند مهر,132,3,2.27
آهودیا,264,6,2.27
آنیگما,308,7,2.27
آکو هنر,5425,123,2.27
روم استور,44,1,2.27
کلیپس ملیپس,583,13,2.23
فروشگاه فرادا,45,1,2.22
اسپرسو,45,1,2.22
پخش مهلا,45,1,2.22
تاپ شاپ کیدز,45,1,2.22
بومیم شاپ,180,4,2.22
عینک پرسیس,91,2,2.2
رسا کمپ,91,2,2.2
فروشگاه آفرودیت,229,5,2.18
شاهان نوین,46,1,2.17
جفت پوش,46,1,2.17
بلک لمون,46,1,2.17
الیشا مد,46,1,2.17
کارتیس,46,1,2.17
فروشگاه آندرومدا,276,6,2.17
بازرگانی کارنو,92,2,2.17
مارکت تهران,46,1,2.17
کتاب و نوشت افزار علیرضا,560,12,2.14
یوفو,47,1,2.13
فردوس تحریر,47,1,2.13
چرم رادیس,144,3,2.08
کیدتویز,48,1,2.08
طرح چاپ,48,1,2.08
هدیه مادر,241,5,2.07
رانال شاپ,194,4,2.06
طلای فراهانی,49,1,2.04
کلبه ی جوراب,49,1,2.04
توکالند,49,1,2.04
مگامال,99,2,2.02
گروه کیهان,100,2,2.0
اکو مال,50,1,2.0
لوپیلوار,50,1,2.0
بهین تجهیزات مدرن,50,1,2.0
بازرگانی گلها,201,4,1.99
پارسیان پیشگام,101,2,1.98
عسلک,254,5,1.97
اکس بیوتی,153,3,1.96
تولیدی بازرگانی ایران,51,1,1.96
بلو بی بی,51,1,1.96
رخ آذین,103,2,1.94
هارمونی مارکت,155,3,1.94
مستر راد,672,13,1.93
اکسسوری نامی,52,1,1.92
کالا پخش ایرانی,52,1,1.92
دست سازه های ابریشم,211,4,1.9
نیروان,1317,25,1.9
لومینو,106,2,1.89
منارک,53,1,1.89
نیکاد,54,1,1.85
انتشارات ارمغان,541,10,1.85
پخش افزار,54,1,1.85
بازرگانی نیلسا,164,3,1.83
لاریسام,55,1,1.82
دی جی مود,110,2,1.82
آفرمارت,55,1,1.82
دکوگراف,55,1,1.82
لوکس پاپیون,56,1,1.79
گندم تجارت,56,1,1.79
پخش ایرسا,56,1,1.79
چرم وارک,390,7,1.79
رساکو,225,4,1.78
شهر شیک,113,2,1.77
پخش پرواز,113,2,1.77
برکاکید,454,8,1.76
مجموعه هنری آتریسا,57,1,1.75
بارلی سنتر,57,1,1.75
پخش بازار تهران,57,1,1.75
پاورتولز,57,1,1.75
گالری زیوین,173,3,1.73
چمدان سنتر,58,1,1.72
وایت روبان,58,1,1.72
رویال واچ سنتر,350,6,1.71
 فروشگاه جوی مارکت,118,2,1.69
اداس,59,1,1.69
میلاد استور,118,2,1.69
بوتیک کوکو,59,1,1.69
تامین کالای نو,59,1,1.69
گالری دویار,119,2,1.68
تولیدی ستارگان,60,1,1.67
اونیکس تی سی,60,1,1.67
گالری تماشا,60,1,1.67
گالري آرمان,360,6,1.67
کودک خوب من,60,1,1.67
موسیقی محمود,61,1,1.64
مهربانو رویا,488,8,1.64
اکسسوری ماهرخ,122,2,1.64
انتشارات پارمیس,61,1,1.64
محسام,122,2,1.64
فیدار فرتاک ,123,2,1.63
جاویدان تندیس,367,6,1.63
تولیدی آرکو,62,1,1.61
نمدکالا,124,2,1.61
چم کیدز,62,1,1.61
گل تای,124,2,1.61
بازرگانی ایران نوین,63,1,1.59
فانی تویز,189,3,1.59
دیدی تویز,63,1,1.59
قم چرم,63,1,1.59
گالری گل ارکیده,190,3,1.58
مسیر نو,631,10,1.58
ونکات,127,2,1.57
فانیکو,64,1,1.56
اسمار لاین,128,2,1.56
ماه بوک,64,1,1.56
بازرگانی آرسا,515,8,1.55
تینو پلاس,773,12,1.55
آرینا کالا,65,1,1.54
پارسا السا,65,1,1.54
لوکس شو,65,1,1.54
تورک پوشاک,196,3,1.53
قاب تی رکس,66,1,1.52
قاب نایس,66,1,1.52
سرزمین لوازم جانبی,66,1,1.52
اسباب بازی نیما,396,6,1.52
دنیای پارچه,133,2,1.5
دکونیک آکوستیک,134,2,1.49
سوین شیمی,67,1,1.49
یار اسپرت,269,4,1.49
دل خواست,67,1,1.49
بلتاگالری,605,9,1.49
نیک پوش غرب,671,10,1.49
اکسسوری شاران,270,4,1.48
سالیز دیزاین,68,1,1.47
ماگ نایس,68,1,1.47
پخش البرز,342,5,1.46
کالا شاپ ایران,206,3,1.46
 زنجیره,275,4,1.45
نیا پلاس,138,2,1.45
دنیای محصولات جذاب,69,1,1.45
تبریزکمپ,69,1,1.45
امیر کالا وزین,69,1,1.45
دنیای کتاب زبان,555,8,1.44
نیل شاپ,140,2,1.43
گالری هوردیس,70,1,1.43
پیشگام فرداد نور,70,1,1.43
کفش نسیم,70,1,1.43
کیان پخش اشکنان,71,1,1.41
الون استور,71,1,1.41
اینکالا,71,1,1.41
مد و پوشاک لیرا,143,2,1.4
نقره گالری ,72,1,1.39
روژین و شروین,72,1,1.39
آئینه زدای,72,1,1.39
فروشگاه تکنوجهان,72,1,1.39
استار راد,73,1,1.37
گالری آرایشی به سیما,74,1,1.35
طلا خانوم,301,4,1.33
آفرمانت,227,3,1.32
پرینا,303,4,1.32
آرکا تحریر,153,2,1.31
هوباس,77,1,1.3
یورپرینت,1151,15,1.3
تموز,462,6,1.3
رآت,155,2,1.29
کفش مهرشانا,78,1,1.28
وان توی,78,1,1.28
زرین  پوش,313,4,1.28
فروشگاه آشیل کالا,78,1,1.28
خرس کوچولو,79,1,1.27
مهرنور,158,2,1.27
هولی مارکت,157,2,1.27
نقش نگین,2286,29,1.27
لاکچری بیبی شاپ,79,1,1.27
نیکتحریر,160,2,1.25
یانگ شاپ,80,1,1.25
قیمت شکن,80,1,1.25
فروشگاه جنت,321,4,1.25
هلث مد,81,1,1.23
سامر,987,12,1.22
هیژا تویز,82,1,1.22
نیکا مال,329,4,1.22
مرکزچاپ پرمانه,6159,75,1.22
الیاکو,82,1,1.22
لونا شاپ,83,1,1.2
فروشگاه سیسمونی آدانا,85,1,1.18
ژیک شاپ,171,2,1.17
لباس کودک بست,1036,12,1.16
ایپو مد,86,1,1.16
ساتیان,86,1,1.16
بازرگانی میلادی,693,8,1.15
لوازم عکاسی سپاس,87,1,1.15
فروشگاه کادویی سیلور,87,1,1.15
پرینس,88,1,1.14
کراوات آی آر,527,6,1.14
نیلان,2544,29,1.14
بل سنتر,351,4,1.14
چیکی توی,90,1,1.11
بهلاین,811,9,1.11
انتشارات اندیشه کهن,92,1,1.09
نمایشگاه ساعت حاج صباغ ,184,2,1.09
پنبه اکسسوری,185,2,1.08
اینجاست آ ,93,1,1.08
ياسر ,93,1,1.08
عرش استودیو,93,1,1.08
موسیقی بتهوون,464,5,1.08
فکرچین,556,6,1.08
سنسیو,94,1,1.06
هایپر تولد رنگین کمان,94,1,1.06
کوشا اکسسوری,94,1,1.06
فروشگاه زوین,1036,11,1.06
گالری فرمژه,95,1,1.05
وهامان,288,3,1.04
فروشگاه ازل,97,1,1.03
آنی لوکس لند,291,3,1.03
مشکات بیوتی شاپ,98,1,1.02
آتیه زریال,99,1,1.01
چپ دست,297,3,1.01
ایران نخ باف,297,3,1.01
نی نی پاپی شاپ,300,3,1.0
کادینی,100,1,1.0
پاما شوز,501,5,1.0
پاکفر,101,1,0.99
اکسسوری جمشیدی,101,1,0.99
کیاشاشاپ,1011,10,0.99
سل دا,101,1,0.99
ددی مارکت,102,1,0.98
هایپر آنا,102,1,0.98
ارایشی شهرزاد,1139,11,0.97
نوشت افزار آذین,105,1,0.95
میرشکار,106,1,0.94
گروه طراحی گراسیپا,319,3,0.94
شاپ کو,218,2,0.92
ژانین بیوتی,110,1,0.91
نفیس گالری,330,3,0.91
چومس شاپ,111,1,0.9
فروشگاه لالانازی,111,1,0.9
زردیس,332,3,0.9
پرینت آرت,4279,38,0.89
 گالری رزگلد,564,5,0.89
گیتی شاپ,113,1,0.88
توشنا شاپ,226,2,0.88
ارایشی چشمک,228,2,0.88
سندس شاپ,230,2,0.87
پارسا آریانا,231,2,0.87
 ماه نقره ای,115,1,0.87
تحریر ملل,229,2,0.87
نقش نگاه,116,1,0.86
لیو شاپ,348,3,0.86
باژیکان,1538,13,0.85
میم کاور,2476,21,0.85
ماتیش,234,2,0.85
ملون شاپ,119,1,0.84
بازرگانی بهران,119,1,0.84
طنین کالا,237,2,0.84
انتشارات آریونا,1558,13,0.83
مینی ویولت,120,1,0.83
جواهران,120,1,0.83
سیمین فرهنگ,124,1,0.81
کوهنوردی و کمپینگ و تاکتیکال,124,1,0.81
مادر نوزاد,124,1,0.81
ابزار هنر,123,1,0.81
کاسیو مد,124,1,0.81
هلما خاتون,376,3,0.8
تولیدی یاقوت,254,2,0.79
فروشگاه نقره رضازاده,128,1,0.78
میسو شاپ,129,1,0.78
فروشگاه گیوا,130,1,0.77
آفرودیت شاپینگ,130,1,0.77
نقره آمیتیس,262,2,0.76
مهرگان لوکس,132,1,0.76
فروشگاه آیدا,132,1,0.76
لینو کالینو,133,1,0.75
موندیال,134,1,0.75
پوشاک آلفردو,135,1,0.74
هاماگراف,135,1,0.74
گالری دارلی,682,5,0.73
 آنی تویز,276,2,0.72
صنایع دستی سما,138,1,0.72
پکاوج,418,3,0.72
ژرمن استایل,279,2,0.72
گالری بزک دوزک,140,1,0.71
پرستیژ کالا,3400,24,0.71
بازرگانی ملورین,1402,10,0.71
قلم ایران,142,1,0.7
لوکس تحریر امین,142,1,0.7
ماه فام,142,1,0.7
دی جی گود,287,2,0.7
مونومونو,285,2,0.7
عالیسا,289,2,0.69
جین شهرو,145,1,0.69
شایناگلد,145,1,0.69
مداد فروش,145,1,0.69
پرگار میرداماد,144,1,0.69
اوپوس,296,2,0.68
بستویز,889,6,0.67
ماندارین,299,2,0.67
یکتامان,447,3,0.67
فروشگاه یوشا,150,1,0.67
زمان و زیور,749,5,0.67
شادینو,152,1,0.66
مزون روژینا,151,1,0.66
اقیانوس گالری,301,2,0.66
کفش مسعود تبریز,151,1,0.66
گالری شروین,151,1,0.66
اسمار,152,1,0.66
سلامت ساز راد,155,1,0.65
چرم پاتن,156,1,0.64
اسیستور,5204,33,0.63
هنا پردازش,159,1,0.63
 آنیسا,159,1,0.63
کوکی وان,158,1,0.63
 شمیم ,161,1,0.62
پارچه سعید,161,1,0.62
زیر و زبر,162,1,0.62
اکسسوری پوشاک ملودی,667,4,0.6
جواهری سعیدیان,168,1,0.6
واروژنا,167,1,0.6
ژیمن,342,2,0.58
آریا راگز,174,1,0.57
پزشکی و بهداشتی هیراد,176,1,0.57
اکسون نوین,353,2,0.57
لوازم جانبی و تحریر باباشی,356,2,0.56
بافتنی برفی,178,1,0.56
آذرخش مال,177,1,0.56
تاج پرفیوم,182,1,0.55
دکتر بالون,367,2,0.54
جورو شاپ,187,1,0.53
شامقصود,189,1,0.53
کتاب فروشی مبعث,1127,6,0.53
نوکوپو,194,1,0.52
اسمونی مارکت,191,1,0.52
اریا اتیل,197,1,0.51
گالری آمریا,195,1,0.51
ماهان واردات,196,1,0.51
سر زمین کودک دلوین,195,1,0.51
رهام مال,401,2,0.5
بازرگانی شانو,205,1,0.49
فروشگاه زیرورو,205,1,0.49
گالری شادونه,210,1,0.48
اوای پخش تهران,208,1,0.48
گیوسل,620,3,0.48
صنایع دستی زاینده رود,212,1,0.47
آوین تجارت,212,1,0.47
رواق رضوان,215,1,0.47
فروشگاه کتاب مان,218,1,0.46
پازل شاپ,219,1,0.46
نم,1790,8,0.45
خانم آقا,447,2,0.45
سپند آسا,227,1,0.44
چاپ فانتزی,229,1,0.44
دورلان,451,2,0.44
پاساکو گالری,467,2,0.43
فری کانتری,239,1,0.42
سورانیک,5645,23,0.41
آموزش فنی و حرفه ای مزرعه زرین,1220,5,0.41
اترنال رز,248,1,0.4
کفش شهپر ممتاز,506,2,0.4
مدینو استایل,252,1,0.4
 آرمین تویز,252,1,0.4
هنرگلسا,248,1,0.4
فروشگاه نیلا نجلا,256,1,0.39
فروشگاه بندار,266,1,0.38
آراز   تویز,264,1,0.38
استودیو هنری ژانو,18451,68,0.37
بهراد طب بیدار,279,1,0.36
دال تل,283,1,0.35
چی چاپ,590,2,0.34
نیتسیله اکسسوری,298,1,0.34
زیباوش,585,2,0.34
لوکس تحریر مهدی,295,1,0.34
گنبد کبود,292,1,0.34
کیدوپلاس,306,1,0.33
چرم کروماکی,304,1,0.33
رایان کاویان,299,1,0.33
مدرن پرشیا,300,1,0.33
داریون دیزاین,313,1,0.32
زرین مهر,629,2,0.32
شیکامزون,2791,9,0.32
بازرگانی پاپوشا,312,1,0.32
آس گالری,641,2,0.31
شرکت چم تویز,327,1,0.31
چاپ گردو,324,1,0.31
ایوان بوک,321,1,0.31
رادکس,327,1,0.31
ایرانوس,355,1,0.28
گالری شقایق,1129,3,0.27
میگوس,375,1,0.27
بازرگانی مجنتا,756,2,0.26
مونو تیم,405,1,0.25
فامو استور,425,1,0.24
باز بازی,423,1,0.24
 گالری امیرخان,416,1,0.24
چاوینو,885,2,0.23
سان رایز تویز,428,1,0.23
ایران متال,3643,8,0.22
دیچا,449,1,0.22
چاپتینو,945,2,0.21
 گلبرگ,540,1,0.19
سام شاه,513,1,0.19
گالری تاپ,565,1,0.18
ماهووت,549,1,0.18
زیتازی,1110,2,0.18
کاتانا,3984,7,0.18
تعمق,592,1,0.17
لیمونار گالری,598,1,0.17
بوک نیکا,594,1,0.17
شرکت تصفیه سازان مهر,1197,2,0.17
بنی,623,1,0.16
کتاب نایاب,666,1,0.15
جیمی شاپ,686,1,0.15
شهر فرشتگان,798,1,0.13
اقلیمه,767,1,0.13
بازرگانی رویان,828,1,0.12
رابین هود,833,1,0.12
تامین کالای ملودی,1854,2,0.11
بامبیلیپ,3576,4,0.11
درامو,4315,4,0.09
فروشگاه عطر سپیدار,1139,1,0.09
دیجی‌کالا,8597,4,0.05
یانگوم,1952,1,0.05
تهران کتاب,3082,1,0.03
کارنیلا هنر,4162,1,0.02
نارگلد گالری,13598,2,0.01
لیردا گلد,17774,1,0.01
لیلیون گالری,35,0,0.0
لوکسوره,61,0,0.0
لیماک شاپ نوین,38,0,0.0
لیمو لاکچری,776,0,0.0
لینتل,74,0,0.0
ماب,25,0,0.0
مارال بیوتی,169,0,0.0
ماریتا دیزاین,29,0,0.0
ماسا دیزاین,1047,0,0.0
ماسک نو,144,0,0.0
ماناکو,25,0,0.0
مانچو,555,0,0.0
ماهلدی,25,0,0.0
ماهوت,26,0,0.0
ماهورا دیزاین,26,0,0.0
ماهک هوم,407,0,0.0
ماوی کوش,23,0,0.0
مای نبات,29,0,0.0
مایا ماهک,2580,0,0.0
مُب استور,90,0,0.0
مترینو شاپ,237,0,0.0
مجتمع سپیدار,43,0,0.0
مجتمع فرش زندیه,115,0,0.0
مجیک گلد,1762,0,0.0
محصولات آبگینه,30,0,0.0
محصولات بهداشتی پرنسس,20,0,0.0
محصولات سالم کوثر,108,0,0.0
محصولات شاد,834,0,0.0
محصولات عطرین,122,0,0.0
محمود زاده,57,0,0.0
مد برتر,54,0,0.0
گلدیس کالا,62,0,0.0
گیگاسنتر,108,0,0.0
گیلواره زراوشان,1105,0,0.0
لا گالریا,56,0,0.0
لابراتوار غروی,489,0,0.0
گلسو,114,0,0.0
گلوبندک,20,0,0.0
گلیم ایران,121,0,0.0
گندم بتن,64,0,0.0
گودی کالا کام,55,0,0.0
گیاهبان,124,0,0.0
گیتاتک,124,0,0.0
گیتاشناسی نوین,50,0,0.0
گیفت شاپ آمیتیس,208,0,0.0
لباس زیر کندو,40,0,0.0
لردارچر,229,0,0.0
لوازم آرایشی و بهداشتی بالرین,86,0,0.0
لوازم اداری,34,0,0.0
لوازم التحریر اسکندری,48,0,0.0
لوازم پزشکی شیراز,39,0,0.0
لوازم جانبی چرم,1798,0,0.0
لوازم ورزشی جزیره کالا,23,0,0.0
لوح هنر,91,0,0.0
لولو مارکت,36,0,0.0
لوکس تجاری نوین,206,0,0.0
لاولی تویز,20,0,0.0
لیدل پوش,160,0,0.0
لیدی برند,119,0,0.0
لیدی لاوین,605,0,0.0
ناریان,20,0,0.0
نارین گستر مهرگل,122,0,0.0
میلاد تجارت تبریز,165,0,0.0
میم مارک,40,0,0.0
میم کاف,49,0,0.0
ناب ترین,42,0,0.0
ناب ترین محصول,230,0,0.0
ناب ترین کیفیت,57,0,0.0
نابینه,665,0,0.0
نادریان,48,0,0.0
مکث استور,24,0,0.0
مکثی نو,25,0,0.0
می دل,76,0,0.0
میرک,20,0,0.0
میسانا,36,0,0.0
مهیاس گرانولا,42,0,0.0
موپیگان,60,0,0.0
مولتی آلفا,27,0,0.0
مدرنلیز,30,0,0.0
مدیکال اینترنشنال,84,0,0.0
مربع مکعب,245,0,0.0
مداد آبی,1737,0,0.0
مداوا مارکت,24,0,0.0
مرساناپوش,220,0,0.0
مرسده بیونی,24,0,0.0
مرکوری شاپ,45,0,0.0
مزون حس,29,0,0.0
مزون گوهر,34,0,0.0
مهرایمند,33,0,0.0
مهرآوا,54,0,0.0
مستر لوکی,42,0,0.0
مسترمانی,159,0,0.0
مشهد کیت,122,0,0.0
معجزه قلم,136,0,0.0
مغازه الین,21,0,0.0
ملکه باش,24,0,0.0
ملی شاپینگ,160,0,0.0
ملیناز,63,0,0.0
منوی دکتر,28,0,0.0
مهاب استور,23,0,0.0
مهر افزون,135,0,0.0
مهر مهدی,44,0,0.0
کارنوصنعت,38,0,0.0
کاغذو,32,0,0.0
کالا تجارت فرجاد,229,0,0.0
کالا میکس,88,0,0.0
کالاآباد,21,0,0.0
کتاب ارمغان,57,0,0.0
کتاب باریزان,83,0,0.0
کتاب باغ,30,0,0.0
کتاب تازه,34,0,0.0
کتاب سالم,8733,0,0.0
کتاب طلایه,97,0,0.0
کتاب هنری تحریر کاظمی,55,0,0.0
کتاب کهکشان,144,0,0.0
کتابخانه کوچک ما,20,0,0.0
کتابدان,122,0,0.0
کالای پارتاک,37,0,0.0
کالیته استور,21,0,0.0
کامنت,177,0,0.0
کانتینر,130,0,0.0
کانون طب نوین,50,0,0.0
کایوسان,52,0,0.0
کتابفروشی اندیشه,560,0,0.0
کتابفروشی رمضانی پور,78,0,0.0
کتابهای نردبان,157,0,0.0
کفش آریایی,75,0,0.0
کرال کویین,38,0,0.0
ووروجک,32,0,0.0
ووگان,314,0,0.0
ویرا پلاستیک,20,0,0.0
ویرا سیتی,23,0,0.0
وینیکا شاپ,26,0,0.0
کار روبیک,30,0,0.0
کارا گلبرگ,148,0,0.0
کارالند,69,0,0.0
کارانس,5212,0,0.0
کارترزلند,480,0,0.0
کاردان استور,37,0,0.0
کارلوس,24,0,0.0
کارن استار,55,0,0.0
هیروبی,90,0,0.0
هوم دکور استور,56,0,0.0
هومان سنتر,24,0,0.0
واچ مارکت,766,0,0.0
واژ مارکت,29,0,0.0
واستین,75,0,0.0
ورهرام بیوتی,29,0,0.0
وزوان,35,0,0.0
وستاک,33,0,0.0
ونداد تجارت,28,0,0.0
ونوس بانوی زیبا,31,0,0.0
نی نی دوست,30,0,0.0
نیلگون شاپ,44,0,0.0
نیلند,66,0,0.0
نیلوفر مارکت,43,0,0.0
نینی,61,0,0.0
نیوایران بالانس,76,0,0.0
نیودرما,37,0,0.0
نو دوخت,21,0,0.0
نوا بردگیم,26,0,0.0
نوبهاران,71,0,0.0
نوژابوک,431,0,0.0
نوین پارس تجارت,70,0,0.0
نوین تل,44,0,0.0
نکویار,106,0,0.0
نسیم طبیعت کاشان,77,0,0.0
نشر پازینه,147,0,0.0
نشر دلهام,20,0,0.0
نشر زرین اندیشمند,252,0,0.0
نشر محراب قلم ,320,0,0.0
نشر مظفر,61,0,0.0
نشر وب,173,0,0.0
نقاشی آروان,35,0,0.0
نقره زارع,135,0,0.0
نقره کار,130,0,0.0
نقرینوگالری,118,0,0.0
نگینالماس,52,0,0.0
نلیسا استور,34,0,0.0
نمایشگاه ساعت صباغ,86,0,0.0
نرم افزاری نوین,119,0,0.0
نسل بوک,222,0,0.0
ناژیامد,87,0,0.0
نانو چرم,27,0,0.0
نانو سافت,38,0,0.0
ناو استایل,39,0,0.0
نایس بیبی شاپ,29,0,0.0
هوده,85,0,0.0
هستی نیل,138,0,0.0
همسو کالا,212,0,0.0
همه جور مارکت,1207,0,0.0
همکلاسی خوب,80,0,0.0
هنر تاپیکال,100,0,0.0
هنر كهن,69,0,0.0
هنرسرای آنا,25,0,0.0
هنرکده آریا ارت,97,0,0.0
هنرکده پرسام,42,0,0.0
هنرکده چکاوک,57,0,0.0
هنری اموریس,30,0,0.0
هنری زیور بانو,34,0,0.0
هرمیداس,173,0,0.0
هریس,220,0,0.0
هایلی شاپ,23,0,0.0
هاینزبرگ,72,0,0.0
هپی بازار,27,0,0.0
نیک اسپریت,22,0,0.0
نیک ثمر,75,0,0.0
هارمونی تغییر,35,0,0.0
هارمونی و صدا,27,0,0.0
هاشکا,41,0,0.0
گالری شمرون,86,0,0.0
گالری شهر ما,56,0,0.0
گالری صبا,147,0,0.0
گالری ضامن,3723,0,0.0
گالری طلا کاکامی,21,0,0.0
گالری ظهیرالدینی,136,0,0.0
گالری عینک ملیکا,36,0,0.0
گالری لند امیر ,67,0,0.0
گالری مدرن آیرن,48,0,0.0
گالری مس مشربه,61,0,0.0
گالری مستور,26,0,0.0
گالری سرای مریم,39,0,0.0
گالری سکه اکبری,25,0,0.0
گالری شاهزاده,30,0,0.0
گالری رحدونه,38,0,0.0
گالری ریماز,70,0,0.0
گالری زر بافت,65,0,0.0
گالری چرم روژه,45,0,0.0
گالری خاطره پردیس,26,0,0.0
گالری خوبرنگ,26,0,0.0
گالری دالاهو,29,0,0.0
گالری دلنواز قشم,146,0,0.0
گالری فرش بیژن,48,0,0.0
گالری مهرسا,21,0,0.0
گالری نقاشی مقیمی,21,0,0.0
گالری نوشاد,31,0,0.0
گالری هنری آتنا,20,0,0.0
گالری کلبه طلایی,174,0,0.0
گاندولند,31,0,0.0
گانیوکی شاپ,38,0,0.0
گچ سفید,46,0,0.0
گردآوران,189,0,0.0
گروه بازرگانی پایازمان,370,0,0.0
گروه بازرگانی دیاموند,25,0,0.0
گروه تبلیغاتی رز اصفهان,89,0,0.0
گروه تجاری شارلوت,40,0,0.0
گرینو,33,0,0.0
گرینویچ,84,0,0.0
گل قاصدک,26,0,0.0
گلاریس هنر,21,0,0.0
گلد باکس امید,24,0,0.0
گلدن رز پارسیان,48,0,0.0
گلدن مولد,57,0,0.0
گلدن کالا,79,0,0.0
گروه تکسان,41,0,0.0
گروه خانه ساعت,428,0,0.0
گروه هنری دانژه,197,0,0.0
گالری ویکتوریا,103,0,0.0
گالری کایلین,100,0,0.0
گالری کرونو,320,0,0.0
فیلیچی شاپ,83,0,0.0
فیورلا آنلاین,221,0,0.0
فنچول,27,0,0.0
فصا,124,0,0.0
فلودو,69,0,0.0
فروشگاه کانون,168,0,0.0
فروشگاه وثوق,20,0,0.0
فروشگاه مهر,30,0,0.0
فروشگاه موج نو,42,0,0.0
فروشگاه مونلایت,32,0,0.0
فروشگاه نبض کتاب,59,0,0.0
فروشگاه نگارانه,49,0,0.0
قانونمدار,79,0,0.0
قشم خرید,30,0,0.0
قصر فرش لاهیجان,52,0,0.0
قلم اندیشه,87,0,0.0
قلم زنی سپنتا,20,0,0.0
قلمدان,48,0,0.0
گالری بهارنارنج,38,0,0.0
گالری بینهایت,42,0,0.0
گالری پرنسس تبریز,78,0,0.0
گالری پوشاک مرکزی,137,0,0.0
قندونه,31,0,0.0
گابیانی,27,0,0.0
گارینه,32,0,0.0
گالری آب و آتش,66,0,0.0
گالری آنیل,32,0,0.0
گالری آونگ,120,0,0.0
گالری الماس ایرانیان,663,0,0.0
گالری الین بیوتی,129,0,0.0
گالری امیر حافظ,26,0,0.0
گالری باجو,88,0,0.0
فروشگاه شهر طبیعت,56,0,0.0
فروشگاه عموعطار,179,0,0.0
فروشگاه فرش مدرن,38,0,0.0
فروشگاه ماهلین,36,0,0.0
فروشگاه سپندآسا,41,0,0.0
فروشگاه سپندار,27,0,0.0
فروشگاه سارمد,25,0,0.0
فروشگاه سامیت,132,0,0.0
فروشگاه سترگ,20,0,0.0
فروشگاه سواری,20,0,0.0
فروشگاه شبآهنگ,42,0,0.0
فروشگاه شما,29,0,0.0
فروشگاه رزگلد اکسلنس,53,0,0.0
فروشگاه روژان,88,0,0.0
فروشگاه اگزرسیس,22,0,0.0
فروشگاه اکسسوری درنیکا,35,0,0.0
فروشگاه ایران کیدز ,207,0,0.0
فروشگاه تخصصی فیروزه,360,0,0.0
فروشگاه تکنو سیستم,38,0,0.0
فروشگاه چهارطاق,38,0,0.0
فروشگاه حصیر سرا,21,0,0.0
فروشگاه داریوش مارکت,41,0,0.0
فروشگاه دم,220,0,0.0
فروشگاه رانژ,1875,0,0.0
طهورا پوش,84,0,0.0
طوطی دیزاین,41,0,0.0
ظریف آرت,36,0,0.0
ظریف بیوتی,42,0,0.0
طب سما,87,0,0.0
طبیعت تنت,60,0,0.0
طراحان  سیب نارنجی,76,0,0.0
طلوع عصر کالا,69,0,0.0
عروسک صوفیا,32,0,0.0
عروسکهای ماندانا,111,0,0.0
عسل کوهستان مهدی,79,0,0.0
عطاری ادویان,23,0,0.0
عطاری لند بهاران,62,0,0.0
شیک شی,85,0,0.0
شیکا نیل,116,0,0.0
شهراکسسوری,70,0,0.0
شهریار تویز,44,0,0.0
شوپن گالری,42,0,0.0
شیائومی سیتی,20,0,0.0
صحرا استایل,20,0,0.0
صدف بوک,125,0,0.0
صفاهوم,50,0,0.0
صنایع دستی الماس,59,0,0.0
صنایع دستی ترنجستان,99,0,0.0
صنایع دستی حجره,249,0,0.0
صنایع دستی صدر,151,0,0.0
صنایع دستی صفائی,21,0,0.0
فایر فلای,23,0,0.0
فخرهنر,29,0,0.0
فرآراد,317,0,0.0
فرابوک,96,0,0.0
فراز پایتخت,315,0,0.0
فاران تویز,209,0,0.0
فاطن,34,0,0.0
فانتزی باز,268,0,0.0
عمده پلاس,23,0,0.0
