seller,total_products,fake_count,fake_percent
با نی نی,41,6,14.63
توریث,110,16,14.55
گستر امین,620,90,14.52
پخش پرنیا,62,9,14.52
کردار نیک,339,49,14.45
هپی اسپرت,90,13,14.44
بهنام اسپورت,28,4,14.29
آشام شاپ,49,7,14.29
زمان آوران,21,3,14.29
گالری شانا,42,6,14.29
ارایشی ایلین,21,3,14.29
تولیدی شیک شو,70,10,14.29
نیکتا مد,276,39,14.13
تاپ شو,85,12,14.12
منوشما,50,7,14.0
پخش سنجاقک,193,27,13.99
جوراب داب,987,138,13.98
شیک پوش ایرانی,179,25,13.97
گلستان استور,43,6,13.95
روشن برایت,36,5,13.89
کیدی مد,36,5,13.89
لاوندر شاپ,72,10,13.89
میکائیل لند,814,113,13.88
ببرزی,65,9,13.85
 شیک پا,29,4,13.79
هایپر شاپ,80,11,13.75
بیلیو,51,7,13.73
باران آنلاین,51,7,13.73
پوشاک روهان,22,3,13.64
هماشاپ,22,3,13.64
هانامد,22,3,13.64
فروشگاه خانم های مشهدی,22,3,13.64
ورزشی کالا,22,3,13.64
سیمارا,22,3,13.64
کانون کوه,22,3,13.64
عینک علیخانی,44,6,13.64
بهشاپ مد,125,17,13.6
فرازتن پوش پوشاک ,89,12,13.48
آقا و خانم سی,454,61,13.44
سوسو گالری,149,20,13.42
ملکا شاپ,127,17,13.39
افرازمد,299,40,13.38
 چرم بابت,30,4,13.33
پونه بافت,30,4,13.33
سرزمین ورزشی,30,4,13.33
گالری هومهر,75,10,13.33
شب و روز,30,4,13.33
لباس نفیس,30,4,13.33
جوانرود,30,4,13.33
اولسون,45,6,13.33
هلیس,75,10,13.33
عینک برلین,204,27,13.24
گالری دنیای هستی,439,58,13.21
عرشی,129,17,13.18
امستور,38,5,13.16
دیمودا,23,3,13.04
پادرین,46,6,13.04
پارس مهر,46,6,13.04
فرانا,54,7,12.96
گالری فردوسان,108,14,12.96
چرم آیدان,31,4,12.9
کارنشو,124,16,12.9
کفش سعیدی,70,9,12.86
مهرادان,39,5,12.82
فیوچر,78,10,12.82
ایران پارسا,79,10,12.66
راستاد مارکت,79,10,12.66
میروشا,351,44,12.54
فروشگاه فیلتر قام,24,3,12.5
چرم ایرانا,32,4,12.5
زهلن ,360,45,12.5
پالادیوم استور,24,3,12.5
کارن چاپ,32,4,12.5
برترشاپ,24,3,12.5
بیاکوه,97,12,12.37
اُپتیک اِستور,292,36,12.33
تبریز کینگ,456,56,12.28
آذاردو,49,6,12.24
پوشاک ترک پلاس,98,12,12.24
گالری لیا,115,14,12.17
کیاکتی,231,28,12.12
بابک گالری,215,26,12.09
آقای کلاه,116,14,12.07
شهر سنگ,58,7,12.07
ایران رهام,141,17,12.06
الیویا,83,10,12.05
آریوان,158,19,12.03
 اصفهان جی,25,3,12.0
اکسسورسیتی,50,6,12.0
تارا تین,92,11,11.96
حراج پوشاک ایرانی,293,35,11.95
شال و روسری افسون,42,5,11.9
ماهیلا,42,5,11.9
حافظ اوت لت,152,18,11.84
ترند اپتیک,398,47,11.81
چاپ اچ دی,1646,194,11.79
چرم ما,992,117,11.79
بازرگانی اسپینو,77,9,11.69
پخش پایتخت,77,9,11.69
مرکز حراج ایرانیان,43,5,11.63
 تولیدی کفش زیتون,95,11,11.58
فروشگاه جوی واتر,156,18,11.54
آریمو,26,3,11.54
دوباره کالا,26,3,11.54
ساعت پندار,399,46,11.53
لیانا شاپ,113,13,11.5
بامینو,1391,159,11.43
سهیلی اسکارف,456,52,11.4
پویاگستر,44,5,11.36
روما چرم,44,5,11.36
کفش اندیشه,53,6,11.32
هرمس جامه,89,10,11.24
گلوریا لند,45,5,11.11
 لولوس,36,4,11.11
تلماه,63,7,11.11
ساراودارا,36,4,11.11
ماهان تن پوش,45,5,11.11
مونلایت استور,27,3,11.11
فلوریت,54,6,11.11
فروشگاه ساحل کیش,36,4,11.11
پوشاک نسرین,73,8,10.96
عینک دونی,1836,201,10.95
آداک گالری,430,47,10.93
بازرگانی امید تهران,110,12,10.91
سیبا بوک,415,45,10.84
صنایع دستی سنجاقک,166,18,10.84
کلاه شاپو,157,17,10.83
ال آی مد,416,45,10.82
موتیز,37,4,10.81
پوشینه کالا,102,11,10.78
هستی گالری دنیا,345,37,10.72
حانیکالا,56,6,10.71
پرسیس طلایی,112,12,10.71
کپس هاف,28,3,10.71
برند اورجینال اصل,928,99,10.67
تای گر,85,9,10.59
نی نی می یو,85,9,10.59
لونا مارکت,275,29,10.55
عطر خدا,95,10,10.53
کیدزشاپ اهواز,57,6,10.53
بانه اسپرت,38,4,10.53
هزار لاله,38,4,10.53
موسیقی مهر,67,7,10.45
سیده,1040,108,10.38
دانژه نیک,29,3,10.34
کریمانه,29,3,10.34
میرا گالری,29,3,10.34
رزا اسپرت,39,4,10.26
الیزا سوینگ,40,4,10.0
 چاروق چی,70,7,10.0
مارادونا اسپورت,30,3,10.0
شیکو برند,30,3,10.0
تولیدی فسقلیمون,20,2,10.0
هنرسرای حلما,91,9,9.89
پوشاک زنانه مروارید,193,19,9.84
بازرگانی مولانیزا,112,11,9.82
کیفانی,143,14,9.79
کیاشید,143,14,9.79
