category1,total_products,high_rated_count,high_rated_percent
برس‌ها و تجهیزات آرایشی,15872,6331,39.89
تزریقات,44,17,38.64
لوازم کمپینگ,13304,5105,38.37
ابزار کار هنری و دستی,1688,647,38.33
سازهای کوبه‌ای,276,104,37.68
صبحانه محلی,869,313,36.02
لباس مردانه,55970,19677,35.16
قمقمه و فلاسک کودک و نوزاد,617,215,34.85
ملحفه کودک و نوزاد,27,9,33.33
سوند و کتترهای ادراری,90,29,32.22
پسرانه,21136,6787,32.11
دفتر و کاغذ و مقوا,30065,9566,31.82
اکسسوری زنانه و مردانه,52644,16422,31.19
لباس زنانه,77928,23918,30.69
بالش شیردهی,193,59,30.57
مواد غذایی,14314,4371,30.54
نوزاد,15448,4676,30.27
آغوشی,79,23,29.11
آویز تخت کودک,395,115,29.11
دخترانه,35260,10244,29.05
کیف، کوله و جامدادی,5407,1531,28.32
لباس سنتی و محلی,92,26,28.26
اکسسوری مردانه,32337,9079,28.08
مد و پوشاک دخترانه و پسرانه,13219,3674,27.79
ملزومات هدیه,10171,2797,27.5
مانیتور و پیجر اتاق کودک و نوزاد,40,11,27.5
تنقلات خانگی,1035,276,26.67
اکسسوری زنانه,57514,14534,25.27
پانسمان عمومی,16,4,25.0
چمدان کودک,54,13,24.07
ظروف سنتی,424,92,21.7
دست بافته‌ ها، رودوزی و محصولات پارچه ای و چرمی,14768,3028,20.5
محصولات فلزی,3142,615,19.57
محصولات سنگی، چینی و سرامیکی,13562,2518,18.57
فرش,7236,1308,18.08
دست سازه های هنری,15228,2719,17.86
دکوراتیو سنتی,428,76,17.76
لوازم جانبی فرش و ابزار فرش,1324,227,17.15
رومیزی، رانر و زیربشقابی سنتی,41,7,17.07
اکسسوری و زیورآلات دست ساز,511,87,17.03
کوسن کودک,849,142,16.73
لوازم جانبی ساعت و مچ بند هوشمند,9312,1473,15.82
چاپ های سنتی,95,14,14.74
غیر خوراکی,454,61,13.44
کتاب چاپی غیر فارسی,31792,3970,12.49
زیورآلات طلا زنانه,32903,3723,11.32
گلیم و گبه,1470,157,10.68
محصولات چوبی و حصیری,10878,935,8.6
تابلو فرش,9430,767,8.13
بالش کودک و نوزاد,1087,64,5.89
زیورآلات طلا مردانه,3632,162,4.46
خواب و حمام,55,2,3.64
زیورآلات طلا بچگانه,2541,85,3.35
قالی و قالیچه,400,5,1.25
کلاژ، پوست و فرش رنگ شده,930,4,0.43
نقاشی و دست‌نوشته‌های هنری,246,1,0.41
محصولات استخوانی,15,0,0.0
